지역코드,지역명,조회일자,순위,영화코드,영화명,순위변동,개봉일,매출액,매출액점유율,매출액증감(전일대비),누적매출액,관객수,관객수증감(전일대비),누적관객수,스크린수,상영횟수
0105000,전체,2017-02-16,1,20166421,재심,동일,2017-02-15,"1,005,300,000",32.3%,"88,412,600 (9.6%)","2,019,671,400","133,292","12,170 (10.0%)","267,547",789,"3,664"
0105000,전체,2017-02-16,2,20150964,조작된 도시,동일,2017-02-09,"566,544,100",18.2%,"-89,219,800 (-13.6%)","12,108,520,744","75,708","-12,421 (-14.1%)","1,511,076",729,"2,923"
0105000,전체,2017-02-16,3,20163580,그레이트 월,동일,2017-02-15,"407,649,200",13.1%,"30,133,700 (8.0%)","812,754,700","49,801","3,350 (7.2%)","98,350",598,"2,860"
0105000,전체,2017-02-16,4,20151228,공조,동일,2017-01-18,"264,392,400",8.5%,"-38,978,900 (-12.8%)","60,995,330,848","36,022","-4,931 (-12.0%)","7,473,858",557,"1,549"
0105000,전체,2017-02-16,5,20161744,트롤,New,2017-02-16,"194,536,300",6.2%,"194,536,300 (100.0%)","210,360,300","29,500","29,500 (100.0%)","31,478",507,985
0105000,전체,2017-02-16,6,20167362,더 큐어,1 하락,2017-02-15,"179,395,600",5.8%,"-22,617,800 (-11.2%)","395,020,000","23,007","-2,954 (-11.4%)","50,664",408,"1,172"
0105000,전체,2017-02-16,7,20167906,마이펫 오지,14 상승,2017-02-16,"114,609,700",3.7%,"108,957,700 (1,927.8%)","128,213,700","16,002","15,158 (1,796.0%)","17,840",390,566
0105000,전체,2017-02-16,8,20161366,"그래, 가족",1 하락,2017-02-15,"55,506,700",1.8%,"-2,378,600 (-4.1%)","134,576,000","7,301",-709 (-8.9%),"18,109",361,884
0105000,전체,2017-02-16,9,20167716,트리플 엑스 리턴즈,1 하락,2017-02-08,"39,208,200",1.3%,"-12,123,800 (-23.6%)","3,672,859,395","5,193","-1,622 (-23.8%)","440,046",275,525
0105000,전체,2017-02-16,10,20167644,발레리나,4 하락,2017-02-09,"34,130,400",1.1%,"-20,372,300 (-37.4%)","936,844,900","5,092","-3,105 (-37.9%)","125,537",167,196
0105000,전체,2017-02-16,11,20161141,50가지 그림자: 심연,2 하락,2017-02-09,"35,447,500",1.1%,"-14,972,900 (-29.7%)","1,311,168,700","4,459","-1,987 (-30.8%)","156,963",106,170
0105000,전체,2017-02-16,12,20178881,명탐정 코난: 에피소드 원-작아진 명탐정,2 하락,2017-02-08,"24,215,200",0.8%,"-11,422,600 (-32.1%)","775,511,300","3,337","-1,657 (-33.2%)","100,144",111,130
0105000,전체,2017-02-16,13,20179281,컨택트,동일,2017-02-02,"24,490,800",0.8%,"1,492,800 (6.5%)","4,883,997,521","3,155",123 (4.1%),"594,826",82,123
0105000,전체,2017-02-16,14,20167645,맨체스터 바이 더 씨,동일,2017-02-15,"21,434,500",0.7%,"201,800 (1.0%)","72,488,100","2,906",19 (0.7%),"9,411",106,222
0105000,전체,2017-02-16,15,20167904,라라랜드,1 상승,2016-12-07,"20,167,200",0.6%,"151,000 (0.8%)","27,321,200,428","2,657",34 (1.3%),"3,266,687",80,123
0105000,전체,2017-02-16,16,20165927,문라이트,New,2017-02-22,"19,075,600",0.6%,"19,075,600 (100.0%)","23,264,600","2,125","2,125 (100.0%)","2,675",20,20
0105000,전체,2017-02-16,17,20165443,모아나,5 하락,2017-01-12,"12,453,300",0.4%,"-12,974,100 (-51.0%)","17,836,223,307","1,821","-1,943 (-51.6%)","2,282,252",69,77
0105000,전체,2017-02-16,18,20162873,레고 배트맨 무비,7 하락,2017-02-09,"12,235,300",0.4%,"-15,667,200 (-56.1%)","990,108,405","1,780","-2,328 (-56.7%)","124,397",96,109
0105000,전체,2017-02-16,19,20161872,너의 이름은.,2 하락,2017-01-04,"11,304,700",0.4%,"-3,133,300 (-21.7%)","29,184,959,456","1,520",-447 (-22.7%),"3,626,253",58,82
0105000,전체,2017-02-16,20,20151229,더 킹,5 하락,2017-01-18,"9,206,700",0.3%,"-11,048,200 (-54.5%)","43,426,107,435","1,268","-1,472 (-53.7%)","5,308,379",60,80
0105000,전체,2017-02-16,21,20179621,금빛 모자이크 프리티 데이즈,New,2017-02-16,"7,399,500",0.2%,"7,399,500 (100.0%)","7,399,500","1,023","1,023 (100.0%)","1,023",80,135
0105000,전체,2017-02-16,22,20168669,아주 긴 변명,69 상승,2017-02-16,"4,418,500",0.1%,"4,404,500 (31,460.7%)","11,975,000",597,"595 (29,750.0%)","1,541",49,74
